CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ARTICOLO;DESCRIZIONE;IMBALLO;QUANTITA;UMGEST;PREZZOUNITLORDOEURO;SCONTIESTESI;IVA;PREZZOUNITNETTOEURO;DATACONSEGNA;TOTLORDORIGAEURO;TOTNETTORIGAEURO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;ANNOTAZIONI;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;IDTESTA;IDRIGA;EXPORTCRM;IDTESTARP;IDRIGARP
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/674;DDT Campionatura Cliente;674;2017-06-23 00:00:00.000;20247#050XXX;PROTELAN AGL/95 - EC;NULL;.500;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-06-09 00:00:00.000;.1300;.1300;2017;DCG;674;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;Laboratoire de l’Institut des Huiles Essentielles Parfums de Garrigues-Route de Salagon – Le Prieuré MANE-FRANCE;148287;462048;2;1;460322;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/675;DDT Campionatura Cliente;675;2017-06-23 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;3.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-06-08 00:00:00.000;.7500;.7500;2017;DCG;675;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148288;462050;2;1;459968;3
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/675;DDT Campionatura Cliente;675;2017-06-23 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;3.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-06-08 00:00:00.000;.7500;.7500;2017;DCG;675;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148288;462050;6;1;459968;3
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/676;DDT Campionatura Cliente;676;2017-06-23 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;3.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-20 00:00:00.000;.7500;.7500;2017;DCG;676;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;SEPPIC 127, CHEMIN DE LA POUDRERIE BP 90228 CASTRES-FRANCIA;148289;462051;2;1;454702;1
C  2816;INTERPOLYMER SARL;;NULL;DCG/2017/677;DDT Campionatura Cliente;677;2017-06-23 00:00:00.000;20237#000XXX;PROTELAN AG 11;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-05-05 00:00:00.000;.2500;.2500;2017;DCG;677;;2017-06-23 00:00:00.000;;DAP WISSENBOURG;RIM.DIR.60 GG DF;NULL;NULL;;148298;462056;2;1;456179;1
C  2816;INTERPOLYMER SARL;;NULL;DCG/2017/677;DDT Campionatura Cliente;677;2017-06-23 00:00:00.000;20260#000XXX;PROTELAN VE/K;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-05-05 00:00:00.000;.2500;.2500;2017;DCG;677;;2017-06-23 00:00:00.000;;DAP WISSENBOURG;RIM.DIR.60 GG DF;NULL;NULL;;148298;462056;3;1;456179;2
C  2816;INTERPOLYMER SARL;;NULL;DCG/2017/677;DDT Campionatura Cliente;677;2017-06-23 00:00:00.000;20260#242XXX;PROTELAN VE/K NP;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-05-05 00:00:00.000;.2500;.2500;2017;DCG;677;;2017-06-23 00:00:00.000;;DAP WISSENBOURG;RIM.DIR.60 GG DF;NULL;NULL;;148298;462056;4;1;456179;3
C  2876;M/S SEHAT INDUSTRIAL AND COMMERCIAL CO.;A    46;BARSA DAROU CO LTD;DCG/2017/678;DDT Campionatura Cliente;678;2017-06-23 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;CISTERNA;.250;KG;.500000;;NON IMP.ART.8 LETT.A-B-C;.500000;2017-05-08 00:00:00.000;.1300;.1300;2017;DCG;678;;2017-06-23 00:00:00.000;;EXW TRICERRO;ANTICIPATO;NULL;NULL;;148299;462057;2;1;456300;1
C  2776;PLASTOFAB TECHNOLOGY SERVICES INC.;;NULL;DCG/2017/679;DDT Campionatura Cliente;679;2017-06-23 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;NULL;.750;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1900;.1900;2017;DCG;679;;2017-06-23 00:00:00.000;;CIF JEBEL ALI;30 GG DATA B/L;NULL;NULL;;148304;462059;2;1;456351;1
C  2776;PLASTOFAB TECHNOLOGY SERVICES INC.;;NULL;DCG/2017/679;DDT Campionatura Cliente;679;2017-06-23 00:00:00.000;20182#000XXX;PEARLAGENT 2000/I;NULL;.750;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1900;.1900;2017;DCG;679;;2017-06-23 00:00:00.000;;CIF JEBEL ALI;30 GG DATA B/L;NULL;NULL;;148304;462059;3;1;456351;2
C  2776;PLASTOFAB TECHNOLOGY SERVICES INC.;;NULL;DCG/2017/679;DDT Campionatura Cliente;679;2017-06-23 00:00:00.000;43078;ZETEMULS HE;NULL;.750;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1900;.1900;2017;DCG;679;;2017-06-23 00:00:00.000;;CIF JEBEL ALI;30 GG DATA B/L;NULL;NULL;;148304;462059;4;1;456351;3
C  2776;PLASTOFAB TECHNOLOGY SERVICES INC.;;NULL;DCG/2017/679;DDT Campionatura Cliente;679;2017-06-23 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;.750;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1900;.1900;2017;DCG;679;;2017-06-23 00:00:00.000;;CIF JEBEL ALI;30 GG DATA B/L;NULL;NULL;;148304;462059;5;1;456351;4
C  2855;ELIA FOUAD SABA TRADING EST;;NULL;DCG/2017/680;DDT Campionatura Cliente;680;2017-06-23 00:00:00.000;20031#000XXX;ZETESOL LA/370;NULL;.500;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1300;.1300;2017;DCG;680;;2017-06-23 00:00:00.000;;CIF AQABA PORT, JORDAN;30% ANTICIPATO - 70% A VISTA BL;NULL;NULL;TARGET CHEMICALS 137, KING ABDULLAH II STREET, MASANNAT PLAZA BUILDING, 2ND FLOOR PO BOX 961079-AMMAN-GIORDANIA;148305;462061;2;1;456366;1
C  2855;ELIA FOUAD SABA TRADING EST;;NULL;DCG/2017/680;DDT Campionatura Cliente;680;2017-06-23 00:00:00.000;32410;OXETAL VD 92;NULL;.500;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1300;.1300;2017;DCG;680;;2017-06-23 00:00:00.000;;CIF AQABA PORT, JORDAN;30% ANTICIPATO - 70% A VISTA BL;NULL;NULL;TARGET CHEMICALS 137, KING ABDULLAH II STREET, MASANNAT PLAZA BUILDING, 2ND FLOOR PO BOX 961079-AMMAN-GIORDANIA;148305;462061;3;1;456366;2
C  2855;ELIA FOUAD SABA TRADING EST;;NULL;DCG/2017/680;DDT Campionatura Cliente;680;2017-06-23 00:00:00.000;20236#000XXX;PROTELAN MGL;NULL;.500;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1300;.1300;2017;DCG;680;;2017-06-23 00:00:00.000;;CIF AQABA PORT, JORDAN;30% ANTICIPATO - 70% A VISTA BL;NULL;NULL;TARGET CHEMICALS 137, KING ABDULLAH II STREET, MASANNAT PLAZA BUILDING, 2ND FLOOR PO BOX 961079-AMMAN-GIORDANIA;148305;462061;4;1;456366;3
C  2855;ELIA FOUAD SABA TRADING EST;;NULL;DCG/2017/680;DDT Campionatura Cliente;680;2017-06-23 00:00:00.000;20053#000XXX;PROTELAN AGE;NULL;.500;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1300;.1300;2017;DCG;680;;2017-06-23 00:00:00.000;;CIF AQABA PORT, JORDAN;30% ANTICIPATO - 70% A VISTA BL;NULL;NULL;TARGET CHEMICALS 137, KING ABDULLAH II STREET, MASANNAT PLAZA BUILDING, 2ND FLOOR PO BOX 961079-AMMAN-GIORDANIA;148305;462061;5;1;456366;4
C  2855;ELIA FOUAD SABA TRADING EST;;NULL;DCG/2017/680;DDT Campionatura Cliente;680;2017-06-23 00:00:00.000;20493#000XXX;ZETEMOL AL;NULL;.500;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2017-05-08 00:00:00.000;.1300;.1300;2017;DCG;680;;2017-06-23 00:00:00.000;;CIF AQABA PORT, JORDAN;30% ANTICIPATO - 70% A VISTA BL;NULL;NULL;TARGET CHEMICALS 137, KING ABDULLAH II STREET, MASANNAT PLAZA BUILDING, 2ND FLOOR PO BOX 961079-AMMAN-GIORDANIA;148305;462061;6;1;456366;5
C  1701;ZSCHIMMER & SCHWARZ ESPANA S.A.;;NULL;DCG/2017/681;DDT Campionatura Cliente;681;2017-06-23 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-05-05 00:00:00.000;.0000;.0000;2017;DCG;681;;2017-06-23 00:00:00.000;;DAP CASTELLON;RIM.DIR.120 GG DF;NULL;NULL;;148306;462062;2;1;456212;1
C  2404;COSMOCHEM SA;;NULL;DCG/2017/682;DDT Campionatura Cliente;682;2017-06-23 00:00:00.000;32670;LUMOROL K 1000;FUSTO PLASTICA ADR 120 KG - 1H2 (125 L);5.000;KG;3.300000;;NON IMP.ART.41 DL 331/93;3.300000;2017-05-05 00:00:00.000;16.5000;16.5000;2017;DCG;682;;2017-06-23 00:00:00.000;;DAP AVLONAS;RIM.DIR.60 GG DF FM;NULL;NULL;COSMOCHEM CHEMICALS MARINOU ANTIPA 96 & ANTHRAKORICHON 17 NEA IONIA, ATHENS, GREECE;148307;462064;2;1;456096;1
C  2404;COSMOCHEM SA;;NULL;DCG/2017/682;DDT Campionatura Cliente;682;2017-06-23 00:00:00.000;20265#000XXX;PURTON CFD;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-05-05 00:00:00.000;.0000;.0000;2017;DCG;682;;2017-06-23 00:00:00.000;;DAP AVLONAS;RIM.DIR.60 GG DF FM;NULL;NULL;COSMOCHEM CHEMICALS MARINOU ANTIPA 96 & ANTHRAKORICHON 17 NEA IONIA, ATHENS, GREECE;148307;462064;3;1;456096;2
C  2404;COSMOCHEM SA;;NULL;DCG/2017/682;DDT Campionatura Cliente;682;2017-06-23 00:00:00.000;20493#000XXX;ZETEMOL AL;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-05-05 00:00:00.000;.0000;.0000;2017;DCG;682;;2017-06-23 00:00:00.000;;DAP AVLONAS;RIM.DIR.60 GG DF FM;NULL;NULL;COSMOCHEM CHEMICALS MARINOU ANTIPA 96 & ANTHRAKORICHON 17 NEA IONIA, ATHENS, GREECE;148307;462064;4;1;456096;3
C  2404;COSMOCHEM SA;;NULL;DCG/2017/682;DDT Campionatura Cliente;682;2017-06-23 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-05-05 00:00:00.000;.0000;.0000;2017;DCG;682;;2017-06-23 00:00:00.000;;DAP AVLONAS;RIM.DIR.60 GG DF FM;NULL;NULL;COSMOCHEM CHEMICALS MARINOU ANTIPA 96 & ANTHRAKORICHON 17 NEA IONIA, ATHENS, GREECE;148307;462064;9;1;456201;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/683;DDT Campionatura Cliente;683;2017-06-23 00:00:00.000;43178;ZETEMULS SMS;NULL;.500;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-05-05 00:00:00.000;.1300;.1300;2017;DCG;683;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148308;462066;2;1;456109;1
C  1562;ZSCHIMMER & SCHWARZ INC.;;NULL;DCG/2017/685;DDT Campionatura Cliente;685;2017-06-23 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;1.000;KG;.223900;;NON IMP.ART.8 LETT.A-B-C;.223914;2017-05-02 00:00:00.000;.2200;.2200;2017;DCG;685;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;;148350;462093;2;1;455636;1
C  1562;ZSCHIMMER & SCHWARZ INC.;;NULL;DCG/2017/685;DDT Campionatura Cliente;685;2017-06-23 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;1.000;KG;.223900;;NON IMP.ART.8 LETT.A-B-C;.223914;2017-05-02 00:00:00.000;.2200;.2200;2017;DCG;685;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;;148350;462093;3;1;455636;2
C  1040;Z & S HANDEL AG;;NULL;DCG/2017/686;DDT Campionatura Cliente;686;2017-06-23 00:00:00.000;20021#214XXX;AMPHOTENSID B4/C;NULL;.500;KG;.500000;;NON IMP.ART.8 LETT.A-B-C;.500000;2017-04-27 00:00:00.000;.2500;.2500;2017;DCG;686;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF FM;NULL;NULL;COSMETOLAB AG HOLZMOOSRUTISTASSE 48 WADENSWILL;148353;462094;2;1;455120;1
C  1038;LEMMEL S.A.;;NULL;DCG/2017/687;DDT Campionatura Cliente;687;2017-06-23 00:00:00.000;20296#000XXX;PROTELAN ESG;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-27 00:00:00.000;.0000;.0000;2017;DCG;687;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF;NULL;NULL;;148354;462095;2;1;455189;1
C  1038;LEMMEL S.A.;;NULL;DCG/2017/687;DDT Campionatura Cliente;687;2017-06-23 00:00:00.000;20275#000XXX;PROTELAN NMF;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-27 00:00:00.000;.0000;.0000;2017;DCG;687;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF;NULL;NULL;;148354;462095;3;1;455189;2
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/688;DDT Campionatura Cliente;688;2017-06-23 00:00:00.000;20256#000XXX;LUMOROL K ECO;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-26 00:00:00.000;.2500;.2500;2017;DCG;688;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148355;462096;5;1;454945;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/688;DDT Campionatura Cliente;688;2017-06-23 00:00:00.000;20237#000XXX;PROTELAN AG 11;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-26 00:00:00.000;.2500;.2500;2017;DCG;688;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148355;462096;6;1;454945;2
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/689;DDT Campionatura Cliente;689;2017-06-23 00:00:00.000;20207#241XXX;PROTELAN LS/9011;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-21 00:00:00.000;.2500;.2500;2017;DCG;689;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;NAOS LES LABORATOIRES 505, RUE P. BERTHIER - CS 70482 AIX EN PROVENCE - CEDEX 3-FRANCIA;148356;462097;2;1;451252;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/690;DDT Campionatura Cliente;690;2017-06-23 00:00:00.000;20207#241XXX;PROTELAN LS/9011;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-22 00:00:00.000;.2500;.2500;2017;DCG;690;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;NAOS LES LABORATOIRES 505, RUE P. BERTHIER - CS 70482 AIX EN PROVENCE - CEDEX 3-FRANCIA;148357;462098;2;1;451269;1
C  2345;McBRIDE IEPER HOUSEHOLD;;NULL;DCG/2017/691;DDT Campionatura Cliente;691;2017-06-23 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;NULL;5.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-28 00:00:00.000;.0000;.0000;2017;DCG;691;;2017-06-23 00:00:00.000;;DAP IEPER (BELGIO);RIM.DIR.120 GG DF FM;NULL;NULL;;148358;462099;2;1;455452;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/692;DDT Campionatura Cliente;692;2017-06-23 00:00:00.000;20300#264XXX;SETACIN 103/SPEZIAL NP;NULL;20.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-07 00:00:00.000;5.0000;5.0000;2017;DCG;692;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;L'OREAL LABO DEMI-GRAND BAT A2 RUE ALBERT EINSTEIN AULNAY SOUS BOIS FRANCE;148359;462100;2;1;453224;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/693;DDT Campionatura Cliente;693;2017-06-23 00:00:00.000;20053#000XXX;PROTELAN AGE;NULL;2.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-31 00:00:00.000;.5000;.5000;2017;DCG;693;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148360;462101;2;1;452469;2
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/693;DDT Campionatura Cliente;693;2017-06-23 00:00:00.000;20053#050XXX;PROTELAN AGE - C;NULL;2.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-31 00:00:00.000;.5000;.5000;2017;DCG;693;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148360;462101;3;1;452469;3
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/693;DDT Campionatura Cliente;693;2017-06-23 00:00:00.000;43178;ZETEMULS SMS;NULL;.500;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-31 00:00:00.000;.1300;.1300;2017;DCG;693;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;COMERCIAL QUIMICA MASSO SA CAP 9 4EME ETAGE - CP213 31 RUE GORGE DE LOUP LYON CEDEX 09 - FRANCE;148360;462101;4;1;452469;5
C  1146;NATIMEL  S.L.;A    21;;DCG/2017/694;DDT Campionatura Cliente;694;2017-06-23 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;CISTERNA;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-18 00:00:00.000;.0000;.0000;2017;DCG;694;;2017-06-23 00:00:00.000;;FCO BILBAO;RIM.DIR.60 GG DF FM;NULL;NULL;;148361;462102;2;1;454312;1
C  1146;NATIMEL  S.L.;A    21;;DCG/2017/694;DDT Campionatura Cliente;694;2017-06-23 00:00:00.000;20236#000XXX;PROTELAN MGL;NULL;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-18 00:00:00.000;.0000;.0000;2017;DCG;694;;2017-06-23 00:00:00.000;;FCO BILBAO;RIM.DIR.60 GG DF FM;NULL;NULL;;148361;462102;3;1;454312;2
C  1040;Z & S HANDEL AG;;NULL;DCG/2017/695;DDT Campionatura Cliente;695;2017-06-23 00:00:00.000;20240#000XXX;PROTELAN AG 8;NULL;.500;KG;.500000;;NON IMP.ART.8 LETT.A-B-C;.500000;2017-04-14 00:00:00.000;.2500;.2500;2017;DCG;695;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF FM;NULL;NULL;TRYBOL AG THEINSTRASSE 86 NEUHAUSEN AM RHEINFALL - SWITZERLAND;148362;462103;2;1;454096;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/696;DDT Campionatura Cliente;696;2017-06-23 00:00:00.000;20493#000XXX;ZETEMOL AL;NULL;.500;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-21 00:00:00.000;.1300;.1300;2017;DCG;696;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;LABORATOIRES PHYTOACTIF - Diafarm 3 chemin d'Auguste CESTAS- FRANCIA;148363;462104;2;1;454855;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/696;DDT Campionatura Cliente;696;2017-06-23 00:00:00.000;20355#112XXX;SULFETAL LA B -E;NULL;.500;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-21 00:00:00.000;.1300;.1300;2017;DCG;696;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;LABORATOIRES PHYTOACTIF - Diafarm 3 chemin d'Auguste CESTAS- FRANCIA;148363;462104;3;1;454855;2
C  1038;LEMMEL S.A.;;NULL;DCG/2017/697;DDT Campionatura Cliente;697;2017-06-23 00:00:00.000;20053#000XXX;PROTELAN AGE;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-20 00:00:00.000;.0000;.0000;2017;DCG;697;;2017-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF;NULL;NULL;;148364;462105;2;1;454728;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/698;DDT Campionatura Cliente;698;2017-06-23 00:00:00.000;20208#000XXX;PROTELAN LS 9011/C;NULL;15.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-11 00:00:00.000;3.7500;3.7500;2017;DCG;698;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;L'OREAL LABO DEMI-GRAND BAT A2 RUE ALBERT EINSTEIN AULNAY SOUS BOIS FRANCE;148365;462106;2;1;453534;1
C  2404;COSMOCHEM SA;;NULL;DCG/2017/699;DDT Campionatura Cliente;699;2017-06-23 00:00:00.000;20522#072XXX;ZETESOL MG-FS;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2017-04-20 00:00:00.000;.0000;.0000;2017;DCG;699;;2017-06-23 00:00:00.000;;DAP AVLONAS;RIM.DIR.60 GG DF FM;NULL;NULL;COSMOCHEM CHEMICALS MARINOU ANTIPA 96 & ANTHRAKORICHON 17 NEA IONIA, ATHENS, GREECE;148376;462108;2;1;454715;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2017/700;DDT Campionatura Cliente;700;2017-06-23 00:00:00.000;20207#241XXX;PROTELAN LS/9011;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-31 00:00:00.000;.2500;.2500;2017;DCG;700;;2017-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;NAOS LES LABORATOIRES 505, RUE P. BERTHIER - CS 70482 AIX EN PROVENCE - CEDEX 3-FRANCIA;148377;462109;2;1;452482;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2017/701;DDT Campionatura Cliente;701;2017-06-23 00:00:00.000;20247#000XXX;PROTELAN AGL/95;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-15 00:00:00.000;.2500;.2500;2017;DCG;701;;2017-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;148378;462110;2;1;450541;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2017/702;DDT Campionatura Cliente;702;2017-06-23 00:00:00.000;20249#000XXX;PROTELAN AGL 95/C;NULL;.100;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-07 00:00:00.000;.0300;.0300;2017;DCG;702;;2017-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;148389;462111;2;1;453323;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2017/702;DDT Campionatura Cliente;702;2017-06-23 00:00:00.000;20249#000XXX;PROTELAN AGL 95/C;NULL;.100;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-10 00:00:00.000;.0300;.0300;2017;DCG;702;;2017-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;148389;462111;6;1;453471;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2017/703;DDT Campionatura Cliente;703;2017-06-23 00:00:00.000;20249#000XXX;PROTELAN AGL 95/C;NULL;.100;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-04-06 00:00:00.000;.0300;.0300;2017;DCG;703;;2017-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;148390;462112;2;1;453204;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2017/704;DDT Campionatura Cliente;704;2017-06-23 00:00:00.000;20249#000XXX;PROTELAN AGL 95/C;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-20 00:00:00.000;.2500;.2500;2017;DCG;704;;2017-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;148391;462113;2;1;451036;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2017/705;DDT Campionatura Cliente;705;2017-06-23 00:00:00.000;20247#000XXX;PROTELAN AGL/95;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2017-03-07 00:00:00.000;.2500;.2500;2017;DCG;705;;2017-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;148392;462114;2;1;449594;1
